x1,x2,x3
40.0,20.0,20.0
20.0,20.0,20.0
240.0,200.0,100.0
40.0,40.0,40.0
120.0,80.0,120.0
300.0,280.0,220.0
20.0,20.0,20.0
40.0,20.0,20.0
300.0,280.0,220.0
20.0,20.0,20.0
20.0,20.0,20.0
0.0,0.0,280.0
40.0,20.0,20.0
220.0,200.0,60.0
60.0,120.0,60.0
0.0,0.0,580.0
60.0,200.0,40.0
280.0,280.0,240.0
20.0,20.0,20.0
60.0,40.0,40.0
300.0,340.0,240.0
620.0,420.0,180.0
500.0,400.0,200.0
220.0,200.0,60.0
20.0,20.0,20.0
60.0,40.0,20.0
240.0,200.0,100.0
20.0,20.0,20.0
20.0,20.0,20.0
40.0,20.0,20.0
220.0,200.0,40.0
300.0,340.0,240.0
460.0,200.0,180.0
0.0,0.0,280.0
320.0,280.0,100.0
300.0,280.0,220.0
260.0,260.0,220.0
40.0,20.0,20.0
60.0,80.0,60.0
100.0,60.0,60.0
20.0,20.0,20.0
20.0,20.0,20.0
280.0,280.0,240.0
0.0,0.0,580.0
60.0,60.0,20.0
40.0,60.0,40.0
40.0,40.0,40.0
20.0,20.0,20.0
40.0,60.0,40.0
0.0,0.0,280.0
60.0,40.0,40.0
20.0,20.0,20.0
20.0,20.0,20.0
420.0,400.0,300.0
280.0,260.0,60.0
40.0,40.0,40.0
20.0,20.0,20.0
40.0,60.0,40.0
300.0,280.0,220.0
20.0,20.0,20.0
420.0,400.0,300.0
40.0,20.0,20.0
40.0,60.0,20.0
0.0,0.0,280.0
60.0,80.0,60.0
340.0,300.0,280.0
40.0,60.0,20.0
20.0,20.0,20.0
60.0,60.0,60.0
20.0,20.0,20.0
500.0,400.0,200.0
60.0,120.0,60.0
300.0,280.0,220.0
60.0,60.0,20.0
40.0,60.0,40.0
460.0,260.0,240.0
20.0,20.0,20.0
200.0,220.0,60.0
220.0,200.0,40.0
300.0,280.0,220.0
40.0,60.0,40.0
180.0,120.0,100.0
420.0,400.0,300.0
340.0,280.0,80.0
40.0,200.0,20.0
20.0,40.0,20.0
20.0,20.0,20.0
60.0,40.0,20.0
0.0,0.0,580.0
60.0,180.0,60.0
20.0,20.0,20.0
200.0,220.0,60.0
460.0,260.0,240.0
40.0,200.0,20.0
760.0,460.0,400.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
580.0,540.0,200.0
20.0,20.0,20.0
580.0,540.0,200.0
40.0,60.0,40.0
320.0,280.0,100.0
40.0,40.0,40.0
780.0,0.0,280.0
220.0,200.0,40.0
620.0,420.0,180.0
20.0,20.0,20.0
40.0,20.0,20.0
40.0,20.0,20.0
280.0,280.0,240.0
40.0,200.0,20.0
0.0,0.0,280.0
580.0,540.0,200.0
20.0,20.0,20.0
40.0,20.0,20.0
20.0,20.0,20.0
280.0,280.0,240.0
20.0,20.0,20.0
60.0,180.0,60.0
20.0,20.0,20.0
60.0,200.0,40.0
500.0,400.0,200.0
420.0,400.0,300.0
60.0,60.0,60.0
780.0,0.0,280.0
20.0,20.0,20.0
40.0,20.0,20.0
500.0,400.0,200.0
60.0,80.0,60.0
0.0,0.0,280.0
20.0,20.0,20.0
